x,y,score1,score2
0,0,6.6075,0.94625
0,10,5.995,0.87
0,20,5.4175,0.725
0,30,5.85,0.6175
0,40,5.8075,1.06875
0,50,6.535,0.66125
0,60,6.98375,0.3975
0,70,7.10625,0.89875
0,80,6.20875,0.7875
0,90,6.00375,0.53625
0,100,6.15625,0.42125
0,110,6.155,0.60625
0,120,6.58125,0.415
0,130,8.575,0.41
0,140,7.40125,1.19875
0,150,5.37625,0.81125
0,160,5.47125,2.41375
0,170,3.425,6.47875
0,180,0.3375,0.2975
0,190,0.905,0.39
0,200,1.08125,0.42
0,210,0.295,0.2725
0,220,0.305,0.20375
0,230,0.26875,0.30875
0,240,0.44,0.27875
0,250,0.27625,0.3325
0,260,0.34125,0.385
0,270,0.2225,0.24625
0,280,0.30125,0.27875
0,290,0.33875,0.54625
0,300,0.39625,0.72625
0,310,1.105,4.03
0,320,3.30125,3.69375
0,330,4.34875,3.53875
0,340,0.34125,1.3375
0,350,0.22125,0.2225
0,360,0.21625,0.2925
0,370,0.24625,0.2925
10,0,1.02,0.50875
10,10,0.74875,0.375
10,20,0.68625,0.305
10,30,0.6575,0.3875
10,40,0.70125,0.34375
10,50,0.5825,0.3825
10,60,0.73875,0.6
10,70,0.46625,0.46125
10,80,0.52,0.485
10,90,0.4575,0.44875
10,100,0.46125,0.42
10,110,0.44125,0.4125
10,120,0.6075,1.85375
10,130,0.8,1.43375
10,140,0.6275,1.09375
10,150,0.51,0.85375
10,160,0.515,3.7675
10,170,0.6625,9.43875
10,180,0.4925,0.7975
10,190,0.705,0.93125
10,200,0.76125,0.94625
10,210,0.28,0.285
10,220,0.24875,0.335
10,230,0.3175,0.345
10,240,0.34875,0.345
10,250,0.31625,0.3225
10,260,0.26625,0.30875
10,270,0.2425,0.29
10,280,0.26375,0.40625
10,290,0.43,0.32125
10,300,0.3125,0.3975
10,310,0.3625,4.22375
10,320,1.555,8.43375
10,330,1.81125,7.81375
10,340,0.3325,1.39
10,350,0.21875,0.2375
10,360,0.2725,0.3275
10,370,0.2925,0.3275
20,0,0.8975,0.44
20,10,0.52,0.405
20,20,0.55,0.43125
20,30,0.56875,0.33625
20,40,0.62125,0.3975
20,50,0.67375,0.45125
20,60,0.58,0.5975
20,70,0.96875,0.645
20,80,0.6925,0.57
20,90,0.7525,0.545
20,100,0.645,0.545
20,110,0.63,0.51375
20,120,0.6825,1.92625
20,130,1.27,1.57375
20,140,0.79,1.18625
20,150,0.4425,0.62125
20,160,0.545,4.1625
20,170,1.67375,9.48875
20,180,4.2925,0.765
20,190,2.94625,0.68
20,200,1.91,0.7625
20,210,1.0675,0.33875
20,220,0.62625,0.36625
20,230,0.365,0.32125
20,240,0.44125,0.25
20,250,0.36875,0.3075
20,260,0.38375,0.2925
20,270,0.42125,0.25375
20,280,0.76875,0.26
20,290,0.5775,0.30875
20,300,0.34625,0.2675
20,310,0.4575,3.78625
20,320,0.41,10.82
20,330,0.21625,9.4775
20,340,0.22375,1.34375
20,350,0.31625,0.26625
20,360,0.2975,0.3625
20,370,0.4225,0.3625
30,0,0.435,0.5525
30,10,0.37,0.32
30,20,0.3025,0.3525
30,30,0.43875,0.33125
30,40,0.61875,0.6
30,50,0.665,0.5225
30,60,0.4975,0.53625
30,70,0.78375,0.49875
30,80,0.5525,0.545
30,90,0.8075,0.6175
30,100,0.92,0.575
30,110,5.57125,0.40125
30,120,12.1063,1.30125
30,130,12.2012,0.96625
30,140,10.6412,0.82875
30,150,8.54625,0.60625
30,160,6.88625,2.88625
30,170,4.63125,6.78
30,180,2.665,0.84875
30,190,3.06875,1.18875
30,200,4.295,1.38
30,210,4.3725,0.7425
30,220,4.23125,0.585
30,230,3.33125,0.5375
30,240,1.01875,0.385
30,250,0.3075,0.405
30,260,0.38125,0.3625
30,270,0.4175,0.55625
30,280,0.77125,0.78625
30,290,0.47625,0.555
30,300,0.39,0.42375
30,310,0.29875,3.88375
30,320,0.755,10.8012
30,330,0.45,9.3775
30,340,0.23,1.22875
30,350,0.385,0.305
30,360,0.6275,0.3425
30,370,0.5675,0.3425
40,0,0.3125,0.4175
40,10,0.405,0.4025
40,20,0.36125,0.46625
40,30,0.46125,0.55625
40,40,0.61,0.73125
40,50,0.59125,0.74
40,60,0.3875,0.72
40,70,0.5475,0.5
40,80,0.53125,0.7025
40,90,0.5475,0.7425
40,100,0.625,5.27375
40,110,2.1175,7.01875
40,120,1.91375,1.35375
40,130,3.13375,1.57875
40,140,4.6575,1.95875
40,150,6.61625,2.14625
40,160,8.70375,2.93375
40,170,9.07,4.15625
40,180,6.68375,1.315
40,190,7.76375,1.0175
40,200,7.85625,1.3175
40,210,6.025,0.84875
40,220,5.3175,1.265
40,230,2.6725,3.03
40,240,0.7025,1.02375
40,250,0.30375,0.32375
40,260,0.4275,0.37875
40,270,0.305,0.3825
40,280,0.3025,0.27875
40,290,0.27375,0.30375
40,300,0.2675,0.37
40,310,0.25875,4.54
40,320,0.9625,10.5088
40,330,0.315,9.045
40,340,0.30875,1.26375
40,350,0.43875,0.6825
40,360,0.53375,0.61
40,370,0.40375,0.61
50,0,0.4125,0.4375
50,10,0.50875,0.39375
50,20,0.375,0.47625
50,30,0.405,0.46
50,40,0.61125,0.5775
50,50,0.44125,0.48375
50,60,0.36375,0.4
50,70,0.3975,0.51375
50,80,0.53875,0.49875
50,90,0.46875,0.5875
50,100,0.315,7.29875
50,110,2.09375,6.6525
50,120,0.31625,0.23125
50,130,0.2825,0.2725
50,140,0.26375,0.175
50,150,0.20625,0.18875
50,160,0.25125,0.2875
50,170,0.29875,0.1475
50,180,0.285,0.32
50,190,0.345,0.7875
50,200,0.8975,1.07375
50,210,1.8825,0.96875
50,220,2.705,3.44
50,230,4.2775,3.875
50,240,0.725,1.005
50,250,0.5375,0.4525
50,260,0.41625,0.33875
50,270,0.3575,0.3775
50,280,0.34875,0.325
50,290,0.23125,0.28
50,300,0.35625,0.46125
50,310,0.32875,5.34125
50,320,1.18625,9.98375
50,330,0.21375,8.90875
50,340,0.72375,0.94875
50,350,0.9275,0.465
50,360,0.5975,0.5025
50,370,0.44625,0.5025
60,0,0.51625,0.50625
60,10,0.4925,0.42
60,20,0.3525,0.43875
60,30,0.375,0.49625
60,40,0.31625,0.365
60,50,0.37875,0.33125
60,60,0.42,0.41625
60,70,0.43375,0.435
60,80,0.3175,0.70375
60,90,0.44625,0.64625
60,100,0.55875,9.295
60,110,2.0075,5.0425
60,120,0.2175,0.2425
60,130,0.24375,0.22625
60,140,0.16875,0.1625
60,150,0.1825,0.21375
60,160,0.27125,0.2475
60,170,0.27875,0.27125
60,180,0.2125,0.225
60,190,0.26875,0.1575
60,200,0.21375,0.20375
60,210,0.295,0.18625
60,220,0.14625,6.165
60,230,3.39625,6.1925
60,240,0.4825,0.825
60,250,0.42875,0.32375
60,260,0.38125,0.2725
60,270,0.27625,0.29375
60,280,0.49125,0.4025
60,290,0.25875,0.27
60,300,0.25875,0.39875
60,310,0.32125,6.26875
60,320,1.0475,9.55875
60,330,0.2175,8.25625
60,340,1.39,0.85
60,350,1.53125,0.2075
60,360,1.5875,0.20625
60,370,1.78875,0.20625
70,0,0.48625,0.4075
70,10,0.49625,0.4075
70,20,0.41125,0.41625
70,30,0.45875,0.4825
70,40,0.41375,0.565
70,50,0.4025,0.45
70,60,0.3725,0.47
70,70,0.46375,0.42125
70,80,0.46,0.5825
70,90,0.54125,0.42625
70,100,0.395,11.1263
70,110,1.58875,3.06
70,120,0.165,0.18375
70,130,0.21625,0.20625
70,140,0.1375,0.14375
70,150,0.185,0.2225
70,160,0.2275,0.1775
70,170,0.19875,0.245
70,180,0.16,0.20375
70,190,0.18625,0.17
70,200,0.17375,0.275
70,210,0.21375,0.2675
70,220,0.185,8.615
70,230,3.865,8.12875
70,240,0.65,0.77375
70,250,0.3775,0.39125
70,260,0.27125,0.3375
70,270,0.36,0.40875
70,280,0.3875,0.43
70,290,0.31125,0.29
70,300,0.27,0.31375
70,310,0.42375,6.69
70,320,1.24875,9.10625
70,330,0.39875,6.90875
70,340,1.6675,0.68375
70,350,2.11875,0.23875
70,360,2.175,0.27
70,370,2.17125,0.27
80,0,0.47625,0.455
80,10,0.44125,0.43
80,20,0.4325,0.53625
80,30,0.5075,0.435
80,40,0.3425,0.44625
80,50,0.38125,0.325
80,60,0.46125,0.41125
80,70,0.4125,0.43
80,80,0.57,0.47625
80,90,0.5775,0.545
80,100,0.73125,12.3825
80,110,1.215,1.58875
80,120,0.16625,0.2025
80,130,0.22375,0.1925
80,140,0.15875,0.16875
80,150,0.16875,0.2725
80,160,0.1825,0.26375
80,170,0.2125,0.27125
80,180,0.15875,0.27
80,190,0.19375,0.1975
80,200,0.17,0.2225
80,210,0.2075,0.32125
80,220,0.26375,9.275
80,230,3.85,8.00125
80,240,0.38125,0.32375
80,250,0.37375,0.32
80,260,0.31125,0.33875
80,270,0.26875,0.30625
80,280,0.21375,0.21125
80,290,0.28375,0.17875
80,300,0.215,0.3975
80,310,0.97625,7.1875
80,320,1.99125,8.84625
80,330,0.34,5.3325
80,340,1.04125,0.355
80,350,1.43125,0.2025
80,360,1.315,0.25625
80,370,1.2775,0.25625
90,0,0.4175,0.47
90,10,0.3625,0.52125
90,20,0.64625,0.49125
90,30,0.4875,0.38
90,40,0.50375,0.4775
90,50,0.39125,0.385
90,60,0.50875,0.46
90,70,0.4025,0.4225
90,80,0.64625,0.70875
90,90,0.35125,0.88875
90,100,1.435,13.2963
